ChagosSP,ChagosFG,GBRSP,GBRFG,MaldivesSP,MaldivesFG,SeychellesSP,SeychellesFG
Acanthurus auranticavus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,Acanthurus leucosternon,Herbivore Grazer,Acanthurus leucosternon,Herbivore Grazer
Acanthurus blochii,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,Acanthurus leucosternon,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer
Acanthurus blochii,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,Acanthurus leucosternon,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer
Acanthurus leucocheilus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,Acanthurus leucosternon,Herbivore Grazer,Ctenochaetus truncatus,Herbivore Grazer
Acanthurus leucocheilus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,Acanthurus leucosternon,Herbivore Grazer,Ctenochaetus truncatus,Herbivore Grazer
Acanthurus leucocheilus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,Acanthurus leucosternon,Herbivore Grazer,Ctenochaetus truncatus,Herbivore Grazer
Acanthurus leucocheilus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,Acanthurus leucosternon,Herbivore Grazer,Ctenochaetus truncatus,Herbivore Grazer
Acanthurus leucocheilus,Herbivore Grazer,Plectroglyphidodon lacrymatus,Herbivore Grazer,Acanthurus nigrofuscus,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer
Acanthurus leucocheilus,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,Acanthurus nigrofuscus,Herbivore Grazer,Zebrasoma desjardinii,Herbivore Grazer
Acanthurus leucocheilus,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,Acanthurus nigrofuscus,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer
Acanthurus leucocheilus,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,Acanthurus nigrofuscus,Herbivore Grazer,Acanthurus leucosternon,Herbivore Grazer
Acanthurus leucocheilus,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,Acanthurus nigrofuscus,Herbivore Grazer,Acanthurus nigrofuscus,Herbivore Grazer
