Latin name,Diet
Orthopristis chrysoptera,FC
Abalistes stellaris,IM
Alectis indicus,FC
Cephalopholis cruentata,FC
Epinephelus adscensionis,IM
Epinephelus guttatus,IM
Epinephelus itajara,FC
Epinephelus morio,FC
Epinephelus striatus,FC
Balistes vetula,FC
Merluccius merluccius,IM
Aspitrigla cuculus,IM
Belone belone,IM
Capros aper,FC
Coris julis,IM
Diplecogaster bimaculata bimaculata,FC
Caranx hippos,FC
Gobius niger,FC
Aphareus furca,FC
Aphareus rutilans,FC
Aprion virescens,FC
Apsilus dentatus,IM
Apsilus fuscus,FC
Acanthocybium solandri,IM
Acanthostracion quadricornis,IM
Euthynnus alletteratus,IM
Grammatorcynus bicarinatus,FC
Grammatorcynus bilineatus,IM
Gymnosarda unicolor,IM
Rastrelliger kanagurta,FC
Scomber australasicus,IM
Scomberomorus cavalla,IM
Scomberomorus commerson,IM
Scomberomorus maculatus,PK
Apogon taeniatus,IM
Scomberomorus munroi,OM
Scomberomorus queenslandicus,PK
Scomberomorus regalis,PK
Scomberomorus semifasciatus,OM
Lutjanus guilcheri,OM
Lutjanus guttatus,IM
Lutjanus inermis,OM
Lutjanus jocu,HD
Lutjanus jordani,IM
Lutjanus kasmira,OM
Lutjanus lemniscatus,OM
Lutjanus lunulatus,IM
Lutjanus lutjanus,IM
Lutjanus madras,OM
Lutjanus mahogoni,IM
Lutjanus malabaricus,FC
Lutjanus mizenkoi,FC
Lutjanus monostigma,OM
Lutjanus notatus,PK
Lutjanus novemfasciatus,OM
Lutjanus peru,OM
Lutjanus purpureus,PK
Lutjanus quinquelineatus,IM
Lutjanus rivulatus,IM
Elops saurus,FC
Lutjanus russelli,IM
Lutjanus sanguineus,IM
Lutjanus sebae,IM
Lutjanus semicinctus,FC
Lutjanus stellatus,IM
Lutjanus synagris,FC
Lutjanus timorensis,IM
Lutjanus viridis,FC
Lutjanus vitta,FC
Macolor macularis,FC
Macolor niger,IM
Ocyurus chrysurus,PK
Paracaesio sordida,PK
Paracaesio xanthura,PK
Pinjalo pinjalo,IS
Pristipomoides aquilonaris,FC
Boops boops,FC
Sarpa salpa,FC
Pristipomoides freemani,IM
Bothus podas,PK
Pristipomoides zonatus,IM
Rhomboplites aurorubens,IM
Symphorichthys spilurus,IS
Symphorus nematophorus,IM
Megalops cyprinoides,IM
Albula vulpes,IM
Lutjanus fulviflamma,IM
Lutjanus fulvus,IM
Lutjanus johnii,IM
Lutjanus gibbus,IM
Lutjanus griseus,FC
Muraenesox cinereus,IM
Conger orbignianus,IM
Conger conger,PK
Centropomus undecimalis,OM
Lates calcarifer,IM
Epinephelus analogus,FC
Polyprion americanus,IM
Polyprion oxygeneios,IM
Acanthistius brasilianus,PK
Paralabrax humeralis,IM
Lutjanus dodecacanthoides,OM
Priacanthus macracanthus,IM
Centropristis striata,FC
Lopholatilus chamaeleonticeps,IM
Trachurus japonicus,IM
Exyrias belissimus,IS
Exyrias ferrarisi,IS
Exyrias puntang,IM
Trachinotus carolinus,IS
Seriola quinqueradiata,IS
Seriola lalandi,IM
Megalaspis cordyla,IM
Chloroscombrus chrysurus,IM
Selar crumenophthalmus,IM
Selaroides leptolepis,PK
Mene maculata,IM
Plectorhinchus mediterraneus,PK
Pomadasys argenteus,PK
Conodon nobilis,PK
Elagatis bipinnulata,IM
Argyrosomus regius,IM
Argyrosomus hololepidotus,HM
Epinephelus aeneus,IM
Pseudotolithus senegalensis,IM
Pagellus bellottii,IM
Pagellus natalensis,IM
Dentex macrophthalmus,IM
Dentex dentex,IM
Dentex angolensis,FC
Archosargus probatocephalus,FC
Argyrops spinifer,FC
Argyrozona argyrozona,IM
Cheimerius nufar,FC
Pagrus major,IM
Pterogymnus laniarius,FC
Stenotomus chrysops,PK
Pseudupeneus prayensis,FC
Drepane punctata,PK
Lebetus scorpioides,PK
Lebetus guilleti,OM
Brotula barbata,IM
Ophiodon elongatus,PK
Stephanolepis cirrhifer,IM
Anchoa mitchilli,IM
Cetengraulis mysticetus,IM
Encrasicholina devisi,IM
Encrasicholina heteroloba,IM
Encrasicholina punctifer,FC
Stolephorus apiensis,IM
Stolephorus chinensis,PK
Stolephorus insularis,FC
Labrus bergylta,HD
Stolephorus multibranchus,FC
Stolephorus pacificus,IM
Thryssa baelama,IM
Thryssa dussumieri,IM
Thryssa hamiltonii,PK
Thryssa mystax,OM
Thryssa setirostris,OM
Coilia mystus,IS
Lepadogaster candolii,IS
Lepadogaster lepadogaster,IS
Mullus barbatus barbatus,IS
Lutjanus ehrenbergii,PK
Lutjanus endecacanthus,IM
Oblada melanura,IS
Pagellus acarne,IM
Pagellus bogaraveo,HD
Pagellus erythrinus,IM
Caesio caerulaurea,HD
Caesio cuning,IM
Caesio lunaris,PK
Caesio striata,HD
Caesio suevica,FC
Caesio teres,HD
Caesio varilineata,IM
Caesio xanthonota,HD
Dipterygonotus balteatus,IM
Gymnocaesio gymnoptera,IM
Pterocaesio capricornis,HD
Pterocaesio chrysozona,IM
Pterocaesio digramma,HD
Pterocaesio lativittata,IM
Pterocaesio marri,HD
Pterocaesio pisang,OM
Pterocaesio randalli,IM
Pterocaesio tessellata,FC
Pterocaesio tile,FC
Acanthurus bahianus,IM
Acanthurus chirurgus,IS
Acanthurus coeruleus,PK
Ariopsis felis,HD
Platycephalus indicus,HD
Aulostomus maculatus,IM
Melichthys niger,HD
Amphichthys cryptocentrus,FC
Sanopus barbatus,IS
Thalassophryne maculosa,IS
Ablennes hians,IM
Platybelone argalus,IS
Strongylura marina,PK
Tylosurus acus,FC
Tylosurus crocodilus,FC
Bothus lunatus,PK
Alectis ciliaris,PK
Decapterus punctatus,OM
Naucrates ductor,IS
Oligoplites saurus,IM
Pseudocaranx dentex,IM
Selene vomer,IM
Seriola dumerili,IM
Seriola fasciata,IS
Seriola rivoliana,HD
Seriola zonata,OM
Trachinotus falcatus,IS
Trachinotus goodei,OM
Conger triporiceps,IS
Symphurus diomedeanus,PK
Dactylopterus volitans,IM
Diodon hystrix,HD
Chaetodipterus faber,IM
Parexocoetus brachypterus,IM
Sardinella aurita,IM
Diapterus rhombeus,IM
Eucinostomus argenteus,IM
Eucinostomus gula,IM
Eucinostomus melanopterus,IM
Gerres cinereus,IM
Saurida undosquamis,FC
Rypticus saponaceus,IM
Hemiramphus brasiliensis,IM
Holocentrus adscensionis,IM
Holocentrus rufus,IM
Myripristis jacobus,IM
Kyphosus incisor,IM
Bodianus pulchellus,IM
Bodianus rufus,IM
Halichoeres radiatus,IM
Lutjanus fulgens,IM
Lachnolaimus maximus,IM
Lobotes surinamensis,IM
Megalops atlanticus,IM
Aluterus schoepfii,IM
Cantherhines pullus,IM
Mugil curema,IM
Mulloidichthys martinicus,FC
Mullus auratus,IM
Pseudupeneus maculatus,HD
Upeneus parvus,IM
Channomuraena vittata,HD
Enchelycore nigricans,HD
Gymnothorax ocellatus,HD
Istigobius hoshinonis,HD
Gymnothorax miliaris,HD
Ophichthus gomesii,HD
Ophichthus ophis,HD
Lactophrys trigonus,HD
Lactophrys triqueter,FC
Polydactylus oligodon,HD
Polydactylus virginicus,HD
Pomacanthus arcuatus,IM
Pomacanthus paru,OM
Abudefduf saxatilis,OM
Abudefduf taurus,PK
Chromis multilineata,IM
Microspathodon chrysurus,PK
Anisotremus surinamensis,IM
Anisotremus virginicus,IM
Haemulon album,FC
Haemulon aurolineatum,FC
Haemulon bonariense,PK
Haemulon boschmae,PK
Haemulon carbonarium,IM
Haemulon chrysargyreum,IM
Haemulon flavolineatum,IM
Haemulon macrostomum,IM
Haemulon melanurum,IM
Haemulon parra,OM
Haemulon plumierii,IM
Haemulon sciurus,IM
Haemulon steindachneri,IM
Haemulon striatum,PK
Orthopristis ruber,OM
Pomadasys corvinaeformis,HM
Pomadasys crocro,HM
Priacanthus arenatus,PK
Heteropriacanthus cruentatus,IM
Nicholsina usta usta,IM
Scarus coelestinus,IM
Scarus coeruleus,IM
Scarus iseri,IM
Scarus guacamaia,IM
Scarus taeniopterus,OM
Scarus vetula,IM
Sparisoma aurofrenatum,PK
Sparisoma chrysopterum,PK
Sparisoma rubripinne,FC
Sparisoma viride,HD
Bairdiella batabana,IS
Sparus aurata,IM
Odontoscion dentex,IM
Stephanolepis setifer,IM
Umbrina broussonnetii,IM
Umbrina coroides,IM
