"","Region","Reef","Genus","Species","Phase","TL","Bites","min","sec","time","Bite.rate","dataset","sp","UVC"
"1","Al lith",NA,"Cetoscarus","bicolor","IP",32,18,4,57,"04:57",3.64,"redsea","Cetoscarus bicolor","TRUE"
"2","Al lith",NA,"Cetoscarus","bicolor","IP",30,29,5,4,"05:04",5.72,"redsea","Cetoscarus bicolor","TRUE"
"3","Al lith",NA,"Cetoscarus","bicolor","TP",40,27,6,1,"06:01",4.49,"redsea","Cetoscarus bicolor","TRUE"
"4","Al lith",NA,"Cetoscarus","bicolor","TP",42,14,4,44,"04:44",2.96,"redsea","Cetoscarus bicolor","TRUE"
"5","KAUST",NA,"Cetoscarus","bicolor","IP",31,11,3,14,"03:14",3.4,"redsea","Cetoscarus bicolor","TRUE"
"6","KAUST",NA,"Cetoscarus","bicolor","TP",42,6,3,8,"03:08",1.91,"redsea","Cetoscarus bicolor","TRUE"
"7","KAUST",NA,"Cetoscarus","bicolor","IP",26,9,3,7,"03:07",2.89,"redsea","Cetoscarus bicolor","TRUE"
"8","KAUST",NA,"Cetoscarus","bicolor","IP",23,16,4,9,"04:09",3.86,"redsea","Cetoscarus bicolor","TRUE"
"9","KAUST",NA,"Cetoscarus","bicolor","IP",27,15,3,1,"03:01",4.97,"redsea","Cetoscarus bicolor","TRUE"
"10","KAUST",NA,"Cetoscarus","bicolor","IP",19,16,3,1,"03:01",5.3,"redsea","Cetoscarus bicolor","TRUE"
"11","KAUST",NA,"Cetoscarus","bicolor","IP",29,11,3,58,"03:58",2.77,"redsea","Cetoscarus bicolor","TRUE"
"12","KAUST",NA,"Cetoscarus","bicolor","IP",24,13,3,3,"03:03",4.26,"redsea","Cetoscarus bicolor","TRUE"
"13","KAUST",NA,"Cetoscarus","bicolor","IP",21,17,3,4,"03:04",5.54,"redsea","Cetoscarus bicolor","TRUE"
"14","KAUST",NA,"Cetoscarus","bicolor","IP",13,32,3,2,"03:02",10.55,"redsea","Cetoscarus bicolor","TRUE"
"15","KAUST",NA,"Cetoscarus","bicolor","IP",29,11,3,4,"03:04",3.59,"redsea","Cetoscarus bicolor","TRUE"
"16","KAUST",NA,"Cetoscarus","bicolor","IP",34,9,3,50,"03:50",2.35,"redsea","Cetoscarus bicolor","TRUE"
"17","KAUST",NA,"Cetoscarus","bicolor","IP",21,27,3,43,"03:43",7.26,"redsea","Cetoscarus bicolor","TRUE"
"18","KAUST",NA,"Cetoscarus","bicolor","IP",32,14,3,2,"03:02",4.62,"redsea","Cetoscarus bicolor","TRUE"
"19","KAUST",NA,"Cetoscarus","bicolor","TP",46,6,3,9,"03:09",1.9,"redsea","Cetoscarus bicolor","TRUE"
"20","KAUST",NA,"Cetoscarus","bicolor","IP",29,16,3,11,"03:11",5.03,"redsea","Cetoscarus bicolor","TRUE"
"21","KAUST",NA,"Cetoscarus","bicolor","IP",28,18,3,53,"03:53",4.64,"redsea","Cetoscarus bicolor","TRUE"
"22","KAUST",NA,"Cetoscarus","bicolor","IP",31,11,3,12,"03:12",3.44,"redsea","Cetoscarus bicolor","TRUE"
"23","KAUST",NA,"Cetoscarus","bicolor","IP",25,21,3,32,"03:32",5.94,"redsea","Cetoscarus bicolor","TRUE"
"24","KAUST",NA,"Cetoscarus","bicolor","IP",30,17,3,1,"03:01",5.64,"redsea","Cetoscarus bicolor","TRUE"
"25","KAUST",NA,"Cetoscarus","bicolor","",36,12,3,27,"03:27",3.48,"redsea","Cetoscarus bicolor","TRUE"
"26","KAUST",NA,"Cetoscarus","bicolor","",33,15,3,52,"03:52",3.88,"redsea","Cetoscarus bicolor","TRUE"
"27","Al lith",NA,"Chlorurus","sordidus","IP",19,41,3,4,"03:04",13.37,"redsea","Chlorurus sordidus","TRUE"
"28","Al lith",NA,"Chlorurus","sordidus","IP",16,50,3,3,"03:03",16.39,"redsea","Chlorurus sordidus","TRUE"
"29","Al lith",NA,"Chlorurus","sordidus","IP",16,41,3,40,"03:40",11.18,"redsea","Chlorurus sordidus","TRUE"
"30","Al lith",NA,"Chlorurus","sordidus","IP",18,69,3,39,"03:39",18.9,"redsea","Chlorurus sordidus","TRUE"
"31","Al lith",NA,"Chlorurus","sordidus","TP",24,42,4,9,"04:09",10.12,"redsea","Chlorurus sordidus","TRUE"
"32","Al lith",NA,"Chlorurus","sordidus","TP",26,38,4,6,"04:06",9.27,"redsea","Chlorurus sordidus","TRUE"
"33","Al lith",NA,"Chlorurus","sordidus","IP",21,39,3,51,"03:51",10.13,"redsea","Chlorurus sordidus","TRUE"
"34","Al lith",NA,"Chlorurus","sordidus","TP",24,27,2,53,"02:53",9.36,"redsea","Chlorurus sordidus","TRUE"
"35","Al lith",NA,"Chlorurus","sordidus","TP",22,32,3,27,"03:27",9.28,"redsea","Chlorurus sordidus","TRUE"
"36","Al lith",NA,"Chlorurus","sordidus","TP",24,42,3,58,"03:58",10.59,"redsea","Chlorurus sordidus","TRUE"
"37","Al lith",NA,"Chlorurus","sordidus","TP",23,43,3,29,"03:29",12.34,"redsea","Chlorurus sordidus","TRUE"
