site.name,camera,part,grazable cov,min.surveyed,seg,fish.id,time.entry,family,species,life.phase,size.tl,size.SL,function,total.bites,surveyor,exit.time
ese2,1,2,55,24,7 to 10,1,0:07:05,aca,cstriatus,na,12,,gra.det,17,kate,0:07:19
ese2,1,2,55,24,7 to 10,2,0:08:40,aca,cstriatus,na,15,,gra.det,3,kate,0:08:46
ese2,1,2,55,24,7 to 10,3,0:09:19,aca,cstriatus,na,15,,gra.det,46,kate,0:09:49
ese2,1,2,55,24,7 to 10,4,0:09:28,aca,cstriatus,na,15,,gra.det,8,kate,0:09:39
ese2,1,2,55,24,13 to 16,5,0:13:27,aca,cstriatus,na,10,,gra.det,4,kate,0:13:32
ese2,1,2,55,24,13 to 16,6,0:13:55,aca,cstriatus,na,13,,gra.det,4,kate,0:14:00
ese2,1,2,55,24,13 to 16,7,0:13:57,aca,zscopas,na,12,,gra.det,3,kate,0:14:12
ese2,1,2,55,24,13 to 16,8,0:14:27,aca,cstriatus,na,15,,gra.det,7,kate,0:14:35
ese2,1,2,55,24,13 to 16,9,0:15:29,aca,cstriatus,na,12,,gra.det,13,kate,0:15:56
ese2,1,2,55,24,19 to 22,10,0:19:00,aca,cstriatus,na,15,,gra.det,13,kate,0:19:17
ese2,1,2,55,24,19 to 22,11,0:19:41,aca,cstriatus,na,15,,gra.det,7,kate,0:14:35
ese2,1,2,55,24,19 to 22,12,0:21:20,aca,cstriatus,na,15,,gra.det,6,kate,0:21:27
ese2,1,2,55,24,25 to 28,13,0:25:07,aca,cstriatus,na,15,,gra.det,7,kate,0:25:18
ese2,1,2,55,24,25 to 28,14,0:26:02,aca,cstriatus,na,12,,gra.det,7,kate,0:26:10
ese2,1,2,55,24,25 to 28,15,0:26:34,aca,cstriatus,na,15,,gra.det,4,kate,0:26:43
ese2,1,2,55,24,25 to 28,16,0:26:41,aca,cstriatus,na,15,,gra.det,4,kate,0:26:49
ese2,1,2,55,24,25 to 28,17,0:27:16,aca,cstriatus,na,15,,gra.det,15,kate,0:27:30
ese2,1,2,55,24,31 to 34,18,0:31:33,aca,anigricans,na,10,,gra.det,6,kate,0:31:40
ese2,1,2,55,24,31 to 34,19,0:31:39,aca,cstriatus,na,12,,gra.det,3,kate,0:31:49
ese2,1,2,55,24,31 to 34,20,0:32:02,aca,cstriatus,na,12,,gra.det,17,kate,0:32:10
ese2,1,2,55,24,37 to 40,21,0:37:14,aca,cstriatus,na,15,,gra.det,7,kate,0:37:24
ese2,1,2,55,24,37 to 40,22,0:38:20,aca,cstriatus,na,12,,gra.det,7,kate,0:38:29
ese2,1,2,55,24,37 to 40,23,0:38:43,aca,cstriatus,na,15,,gra.det,8,kate,0:38:53
ese2,1,3,55,24,0 to 3,24,0:06:00,aca,cstriatus,na,15,,gra.det,5,kate,0:12:00
ese2,1,3,55,24,0 to 3,25,0:21:00,aca,cstriatus,na,15,,gra.det,5,kate,0:29:00
ese2,1,3,55,24,0 to 3,26,0:32:00,aca,cstriatus,na,12,,gra.det,11,kate,0:39:00
ese2,1,3,55,24,0 to 3,27,0:01:15,aca,zscopas,na,10,,gra.det,12,kate,0:01:21
ese2,1,3,55,24,0 to 3,28,0:01:27,aca,zscopas,na,10,,gra.det,1,kate,0:01:30
