Region,Reef,Species,Phase,TL,Bites,min,sec,time,TL,bite rate
GBR,Lizard,B. muricatum,,110,11,3,0,00:03:00,110,3.666666667
GBR,Lizard,B. muricatum,,65,14,3,0,00:03:00,65,4.666666667
GBR,Lizard,B. muricatum,,75,15,3,1,00:03:01,75,4.972375691
GBR,Lizard,C. bicolor,IP,24,31,3,4,00:03:04,24,10.10869565
GBR,Lizard,C. bicolor,TP,48,13,3,34,00:03:34,48,3.644859813
GBR,Lizard,C. bicolor,IP,22,28,3,7,00:03:07,22,8.983957219
GBR,Lizard,C. bicolor,IP,38,18,3,2,00:03:02,38,5.934065934
GBR,Lizard,C. bicolor,IP,41,16,3,1,00:03:01,41,5.303867403
GBR,Lizard,C. bicolor,IP,44,13,3,5,00:03:05,44,4.216216216
GBR,Lizard,C. bicolor,IP,22,17,3,19,00:03:19,22,5.125628141
GBR,Lizard,C. bicolor,IP,30,20,3,2,00:03:02,30,6.593406593
GBR,Lizard,C. bicolor,IP,22,12,3,0,00:03:00,22,4
GBR,Lizard,C. bicolor,IP,19,25,3,0,00:03:00,19,8.333333333
GBR,Lizard,C. bicolor,IP,27,23,3,4,00:03:04,27,7.5
GBR,Lizard,C. bicolor,TP,60,8,3,11,00:03:11,60,2.513089005
GBR,Lizard,C. bicolor,IP,48,11,3,0,00:03:00,48,3.666666667
GBR,Lizard,C. bicolor,IP,37,15,3,9,00:03:09,37,4.761904762
GBR,Lizard,C. bicolor,IP,34,24,3,3,00:03:03,34,7.868852459
GBR,Lizard,C. bicolor,IP,36,19,3,5,00:03:05,36,6.162162162
GBR,Lizard,C. bicolor,IP,30,28,3,0,00:03:00,30,9.333333333
GBR,Lizard,C. bicolor,TP,55,11,3,12,00:03:12,55,3.4375
GBR,Lizard,C. bicolor,IP,35,19,3,0,00:03:00,35,6.333333333
GBR,Lizard,C. bicolor,IP,24,23,3,3,00:03:03,24,7.540983607
GBR,Lizard,C. bicolor,IP,40,11,3,0,00:03:00,40,3.666666667
GBR,Lizard,C. bicolor,TP,48,9,3,7,00:03:07,48,2.887700535
GBR,Lizard,C. bicolor,IP,29,23,3,5,00:03:05,29,7.459459459
GBR,Lizard,C. bicolor,IP,37,10,3,0,00:03:00,37,3.333333333
GBR,Lizard,C. bicolor,TP,43,9,3,4,00:03:04,43,2.934782609
GBR,Lizard,C. bicolor,IP,27,25,3,6,00:03:06,27,8.064516129
GBR,Lizard,C. bicolor,IP,23,36,3,1,00:03:01,23,11.93370166
GBR,Lizard,C. bicolor,IP,35,13,3,0,00:03:00,35,4.333333333
GBR,Lizard,C. bicolor,IP,49,12,3,2,00:03:02,49,3.956043956
GBR,Lizard,C. bicolor,TP,58,8,3,2,00:03:02,58,2.637362637
GBR,Lizard,C. bleekeri,TP,23,13,3,23,00:03:23,23,3.842364532
GBR,Lizard,C. bleekeri,IP,21,57,3,2,00:03:02,21,18.79120879
GBR,Lizard,C. bleekeri,TP,25,28,3,2,00:03:02,25,9.230769231
GBR,Lizard,C. bleekeri,IP,22,44,3,3,00:03:03,22,14.42622951
GBR,Lizard,C. bleekeri,TP,15,63,3,8,00:03:08,15,20.10638298
GBR,Lizard,C. bleekeri,IP,26,27,3,3,00:03:03,26,8.852459016
GBR,Lizard,C. bleekeri,IP,16,58,3,0,00:03:00,16,19.33333333
GBR,Lizard,C. bleekeri,IP,23,34,3,5,00:03:05,23,11.02702703
GBR,Lizard,C. carolinus,IP,20,31,,285,00:04:45,20,6.526315789
GBR,Lizard,C. carolinus,IP,24,16,,146,00:02:26,24,6.575342466
GBR,Lizard,C. carolinus,IP,25,54,,641,00:10:41,25,5.054602184
GBR,Lizard,C. carolinus,IP,25,17,,224,00:03:44,25,4.553571429
GBR,Lizard,C. carolinus,TP,27,11,,188,00:03:08,27,3.510638298
GBR,Lizard,C. carolinus,TP,28,9,,186,00:03:06,28,2.903225806
GBR,Lizard,C. carolinus,IP,23,22,,201,00:03:21,23,6.567164179
GBR,Lizard,C. carolinus,TP,18,36,,219,00:03:39,18,9.863013699
GBR,Lizard,C. carolinus,IP,24,14,3,5,00:03:05,24,4.540540541
GBR,Lizard,C. carolinus,TP,32,13,3,0,00:03:00,32,4.333333333
GBR,Lizard,C. carolinus,IP,26,18,3,9,00:03:09,26,5.714285714
GBR,Lizard,C. microrhinos,IP,17,53,5,6,00:05:06,17,10.39215686
GBR,Lizard,C. microrhinos,IP,17,51,4,29,00:04:29,17,11.37546468
GBR,Lizard,C. microrhinos,IP,18,56,6,0,00:06:00,18,9.333333333
GBR,Lizard,C. microrhinos,IP,18,73,5,10,00:05:10,18,14.12903226
GBR,Lizard,C. microrhinos,IP,19,48,4,22,00:04:22,19,10.99236641
GBR,Lizard,C. microrhinos,IP,22,48,4,51,00:04:51,22,9.896907216
GBR,Lizard,C. microrhinos,IP,23,41,4,22,00:04:22,23,9.389312977
GBR,Lizard,C. microrhinos,IP,24,47,6,0,00:06:00,24,7.833333333
GBR,Lizard,C. microrhinos,IP,25,28,6,32,00:06:32,25,4.285714286
GBR,Lizard,C. microrhinos,IP,25,36,4,14,00:04:14,25,8.503937008
GBR,Lizard,C. microrhinos,IP,25,37,3,52,00:03:52,25,9.568965517
GBR,Lizard,C. microrhinos,IP,25,54,4,6,00:04:06,25,13.17073171
GBR,Lizard,C. microrhinos,IP,26,39,5,23,00:05:23,26,7.244582043
GBR,Lizard,C. microrhinos,IP,26,43,5,32,00:05:32,26,7.771084337
GBR,Lizard,C. microrhinos,IP,27,45,4,11,00:04:11,27,10.75697211
