Region,Genus,Species,Phase,TL,Bites,min,sec,time,Bite rate
Al lith,Cetoscarus,bicolor,IP,32,18,4,57,04:57,3.64
Al lith,Cetoscarus,bicolor,IP,30,29,5,4,05:04,5.72
Al lith,Cetoscarus,bicolor,TP,40,27,6,1,06:01,4.49
Al lith,Cetoscarus,bicolor,TP,42,14,4,44,04:44,2.96
KAUST,Cetoscarus,bicolor,IP,31,11,3,14,03:14,3.40
KAUST,Cetoscarus,bicolor,TP,42,6,3,8,03:08,1.91
KAUST,Cetoscarus,bicolor,IP,26,9,3,7,03:07,2.89
KAUST,Cetoscarus,bicolor,IP,23,16,4,9,04:09,3.86
KAUST,Cetoscarus,bicolor,IP,27,15,3,1,03:01,4.97
KAUST,Cetoscarus,bicolor,IP,19,16,3,1,03:01,5.30
KAUST,Cetoscarus,bicolor,IP,29,11,3,58,03:58,2.77
KAUST,Cetoscarus,bicolor,IP,24,13,3,3,03:03,4.26
KAUST,Cetoscarus,bicolor,IP,21,17,3,4,03:04,5.54
KAUST,Cetoscarus,bicolor,IP,13,32,3,2,03:02,10.55
KAUST,Cetoscarus,bicolor,IP,29,11,3,4,03:04,3.59
KAUST,Cetoscarus,bicolor,IP,34,9,3,50,03:50,2.35
KAUST,Cetoscarus,bicolor,IP,21,27,3,43,03:43,7.26
KAUST,Cetoscarus,bicolor,IP,32,14,3,2,03:02,4.62
KAUST,Cetoscarus,bicolor,TP,46,6,3,9,03:09,1.90
KAUST,Cetoscarus,bicolor,IP,29,16,3,11,03:11,5.03
KAUST,Cetoscarus,bicolor,IP,28,18,3,53,03:53,4.64
KAUST,Cetoscarus,bicolor,IP,31,11,3,12,03:12,3.44
KAUST,Cetoscarus,bicolor,IP,25,21,3,32,03:32,5.94
KAUST,Cetoscarus,bicolor,IP,30,17,3,1,03:01,5.64
KAUST,Cetoscarus,bicolor,,36,12,3,27,03:27,3.48
KAUST,Cetoscarus,bicolor,,33,15,3,52,03:52,3.88
KAUST,Chlorurus,genozonatus,TP,30,38,3,8,03:08,12.13
KAUST,Chlorurus,genozonatus,TP,27,36,3,13,03:13,11.19
KAUST,Chlorurus,genozonatus,IP,27,37,3,4,03:04,12.07
KAUST,Chlorurus,genozonatus,IP,26,33,3,8,03:08,10.53
KAUST,Chlorurus,genozonatus,,25,41,3,11,03:11,12.88
KAUST,Chlorurus,genozonatus,,28,34,3,7,03:07,10.91
KAUST,Chlorurus,genozonatus,,27,39,3,1,03:01,12.93
KAUST,Chlorurus,genozonatus,,22,44,3,8,03:08,14.04
KAUST,Chlorurus,genozonatus,,25,36,3,0,03:00,12.00
KAUST,Chlorurus,genozonatus,,24,33,3,0,03:00,11.00
KAUST,Chlorurus,genozonatus,,29,29,3,3,03:03,9.51
KAUST,Chlorurus,genozonatus,,23,36,3,14,03:14,11.13
KAUST,Chlorurus,genozonatus,,30,30,3,6,03:06,9.68
Al lith,Chlorurus,gibbus,TP,43,17,3,21,03:21,5.07
KAUST,Chlorurus,gibbus,IP,30,19,3,19,03:19,5.73
KAUST,Chlorurus,gibbus,IP,14,31,3,4,03:04,10.11
KAUST,Chlorurus,gibbus,IP,32,16,3,10,03:10,5.05
KAUST,Chlorurus,gibbus,IP,28,30,3,21,03:21,8.96
KAUST,Chlorurus,gibbus,IP,24,16,3,55,03:55,4.09
KAUST,Chlorurus,gibbus,TP,31,12,3,1,03:01,3.98
KAUST,Chlorurus,gibbus,TP,38,5,3,12,03:12,1.56
