"","genus","species","phase","location","location2","date","TL","bitelength","bitewidth","bitearea"
"1","Calotomus ","carolinus","TP","North Reef","Lizard, GBR","20/10/2014",32,0,0,0
"2","Calotomus ","carolinus","TP","North Reef","Lizard, GBR","20/10/2014",32,0,0,0
"3","Calotomus ","carolinus","TP","North Reef","Lizard, GBR","20/10/2014",32,0,0,0
"4","Calotomus ","carolinus","TP","North Reef","Lizard, GBR","20/10/2014",32,0,0,0
"5","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","21/10/2014",12,0,0,0
"6","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","20/10/2014",13,0,0,0
"7","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","20/10/2014",13,4.9,2,9.8
"8","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","20/10/2014",14,0,0,0
"9","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","20/10/2014",14,0,0,0
"10","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","20/10/2014",14,0,0,0
"11","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","20/10/2014",14,0,0,0
"12","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","20/10/2014",14,0,0,0
"13","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","20/10/2014",14,0,0,0
"14","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","20/10/2014",14,0,0,0
"15","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","21/10/2014",19,0,0,0
"16","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","21/10/2014",19,0,0,0
"17","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","21/10/2014",19,0,0,0
"18","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","21/10/2014",19,0,0,0
"19","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","21/10/2014",19,6.4,2.9,18.56
"20","Cetoscarus","bicolor","IP","Big Vicki's","Lizard, GBR","19/10/2014",22,0,0,0
"21","Cetoscarus","bicolor","IP","Big Vicki's","Lizard, GBR","19/10/2014",25,14.1,5.8,81.78
"22","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","20/10/2014",27,0,0,0
"23","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","20/10/2014",27,0,0,0
"24","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","20/10/2014",32,15.1,6.2,93.62
"25","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","20/10/2014",32,16.4,5.1,83.64
"26","Cetoscarus","bicolor","IP","Big Vicki's","Lizard, GBR","19/10/2014",35,0,0,0
"27","Cetoscarus","bicolor","IP","Big Vicki's","Lizard, GBR","19/10/2014",35,0,0,0
"28","Cetoscarus","bicolor","IP","Big Vicki's","Lizard, GBR","19/10/2014",35,0,0,0
"29","Cetoscarus","bicolor","IP","Big Vicki's","Lizard, GBR","19/10/2014",35,12.3,3.6,44.28
"30","Cetoscarus","bicolor","IP","Big Vicki's","Lizard, GBR","19/10/2014",35,15.7,5.7,89.49
"31","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","21/10/2014",38,19.6,8.7,170.52
"32","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","21/10/2014",40,0,0,0
"33","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","21/10/2014",40,12.9,4.8,61.92
"34","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","21/10/2014",45,0,0,0
"35","Cetoscarus","bicolor","IP","North Reef","Lizard, GBR","21/10/2014",45,32.3,9.5,306.85
"36","Cetoscarus","bicolor","TP","North Reef","Lizard, GBR","21/10/2014",40,0,0,0
"37","Cetoscarus","bicolor","TP","North Reef","Lizard, GBR","21/10/2014",40,0,0,0
"38","Cetoscarus","bicolor","TP","North Reef","Lizard, GBR","21/10/2014",50,31.7,7.5,237.75
"39","Cetoscarus","bicolor","TP","North Reef","Lizard, GBR","21/10/2014",50,38.9,6.5,252.85
"40","Cetoscarus","bicolor","TP","North Reef","Lizard, GBR","21/10/2014",55,27.4,14.8,405.52
"41","Cetoscarus","bicolor","TP","North Reef","Lizard, GBR","20/10/2014",56,12,10.6,127.2
