"","date","dataset","reef","site","site.number","management","habitat","unique.id","depth","transect","transect.area","family","species","FG","length.cm","mass.g","biomass.kgha","abundance.500m2"
"135",NA,"Chagos","Great Chagos Bank","Middle Brother","3","Unfished","Exposed","GreatChagosBank.MiddleBrother.4",9,4,250,"Acanthuridae","Acanthurus auranticavus","Herbivore Grazer",17,137.251799,5.49007196,2
"136",NA,"Chagos","Great Chagos Bank","Eagle","3","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus blochii","Herbivore Grazer",29,705.016543,28.20066172,2
"137",NA,"Chagos","Great Chagos Bank","Eagle","3","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus blochii","Herbivore Grazer",29,705.016543,28.20066172,2
"138",NA,"Chagos","Great Chagos Bank","Eagle","1","Unfished","Sheltered","GreatChagosBank.Eagle.3",9,3,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",19,192.128325,7.685133002,2
"139",NA,"Chagos","Great Chagos Bank","Eagle","1","Unfished","Sheltered","GreatChagosBank.Eagle.3",9,3,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",20,224.365054,8.974602159,2
"140",NA,"Chagos","Great Chagos Bank","Eagle","1","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",30,764.6367753,30.58547101,2
"141",NA,"Chagos","Great Chagos Bank","Eagle","1","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",30,764.6367753,30.58547101,2
"142",NA,"Chagos","Great Chagos Bank","Eagle","1","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",34,1116.433225,44.65732899,2
"143",NA,"Chagos","Great Chagos Bank","Eagle","2","Unfished","Sheltered","GreatChagosBank.Eagle.2",9,2,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",32,929.4243402,37.17697361,2
"144",NA,"Chagos","Great Chagos Bank","Eagle","2","Unfished","Sheltered","GreatChagosBank.Eagle.2",9,2,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",34,1116.433225,44.65732899,2
"145",NA,"Chagos","Great Chagos Bank","Eagle","2","Unfished","Sheltered","GreatChagosBank.Eagle.2",9,2,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",38,1562.809719,62.51238877,2
"146",NA,"Chagos","Great Chagos Bank","Eagle","2","Unfished","Sheltered","GreatChagosBank.Eagle.2",9,2,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",48,3167.480932,126.6992373,2
"147",NA,"Chagos","Great Chagos Bank","Eagle","2","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",40,1825.029636,73.00118543,2
"148",NA,"Chagos","Great Chagos Bank","Eagle","2","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",40,1825.029636,73.00118543,2
"149",NA,"Chagos","Great Chagos Bank","Eagle","2","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",40,1825.029636,73.00118543,2
"150",NA,"Chagos","Great Chagos Bank","Eagle","2","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",40,1825.029636,73.00118543,2
"151",NA,"Chagos","Great Chagos Bank","Eagle","3","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",30,764.6367753,30.58547101,2
"152",NA,"Chagos","Great Chagos Bank","Eagle","3","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",30,764.6367753,30.58547101,2
"153",NA,"Chagos","Great Chagos Bank","Eagle","3","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",30,764.6367753,30.58547101,2
"154",NA,"Chagos","Great Chagos Bank","Eagle","3","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",30,764.6367753,30.58547101,2
"155",NA,"Chagos","Great Chagos Bank","Eagle","3","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",30,764.6367753,30.58547101,2
"156",NA,"Chagos","Great Chagos Bank","Eagle","3","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",30,764.6367753,30.58547101,2
"157",NA,"Chagos","Great Chagos Bank","Eagle","3","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",30,764.6367753,30.58547101,2
"158",NA,"Chagos","Great Chagos Bank","Eagle","3","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",30,764.6367753,30.58547101,2
"159",NA,"Chagos","Great Chagos Bank","Eagle","3","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",30,764.6367753,30.58547101,2
"160",NA,"Chagos","Great Chagos Bank","Eagle","3","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",30,764.6367753,30.58547101,2
"161",NA,"Chagos","Great Chagos Bank","Eagle","3","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",30,764.6367753,30.58547101,2
"162",NA,"Chagos","Great Chagos Bank","Eagle","3","Unfished","Sheltered","GreatChagosBank.Eagle.4",9,4,250,"Acanthuridae","Acanthurus leucocheilus","Herbivore Grazer",30,764.6367753,30.58547101,2
