"date","dataset","reef","site","site.number","management","habitat","unique.id","depth","transect","transect.area","family","species","FG","length.cm","mass.g","biomass.kgha","abundance.500m2"
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",12,47.91784216,1.916713686,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",12,47.91784216,1.916713686,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",12,47.91784216,1.916713686,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",13,60.76261022,2.430504409,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",13,60.76261022,2.430504409,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",13,60.76261022,2.430504409,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",11,40.33592989,1.613437196,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",11,40.33592989,1.613437196,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",12,50.53176248,2.021270499,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",12,50.53176248,2.021270499,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",12,50.53176248,2.021270499,2
