"","species","FG","chagos","gbr","maldives","seychelles","nregions"
"1","Acanthurus auranticavus","Herbivore Grazer","TRUE","TRUE","TRUE","FALSE",3
"2","Acanthurus blochii","Herbivore Grazer","TRUE","TRUE","FALSE","FALSE",2
"3","Acanthurus leucocheilus","Herbivore Grazer","TRUE","FALSE","FALSE","FALSE",1
"4","Acanthurus leucosternon","Herbivore Grazer","TRUE","FALSE","TRUE","TRUE",3
"5","Acanthurus lineatus","Herbivore Grazer","TRUE","TRUE","TRUE","TRUE",4
"6","Acanthurus nigricauda","Herbivore Grazer","TRUE","TRUE","FALSE","FALSE",2
"7","Acanthurus nigrofuscus","Herbivore Grazer","TRUE","TRUE","TRUE","TRUE",4
"8","Acanthurus tennenti","Herbivore Grazer","TRUE","FALSE","FALSE","FALSE",1
"9","Acanthurus triostegus","Herbivore Grazer","TRUE","TRUE","FALSE","TRUE",3
"10","Acanthurus tristis","Herbivore Grazer","TRUE","TRUE","FALSE","FALSE",2
"11","Cetoscarus bicolor","Herbivore Scraper","TRUE","TRUE","TRUE","TRUE",4
"12","Chlorurus capistratoides","Herbivore Scraper","TRUE","FALSE","FALSE","FALSE",1
"13","Chlorurus enneacanthus","Herbivore Scraper","TRUE","FALSE","TRUE","FALSE",2
"14","Chlorurus sordidus","Herbivore Scraper","TRUE","TRUE","TRUE","TRUE",4
"15","Chlorurus stronglycephalus","Herbivore Scraper","TRUE","FALSE","FALSE","FALSE",1
"16","Hipposcarus harid","Herbivore Scraper","TRUE","FALSE","TRUE","TRUE",3
"17","Kyphosus cinerascens","Herbivore Browser","TRUE","TRUE","TRUE","FALSE",3
"18","Melichthys niger","Herbivore Grazer","TRUE","FALSE","TRUE","FALSE",2
"19","Naso brachycentron","Herbivore Browser","TRUE","TRUE","FALSE","FALSE",2
"20","Naso lituratus","Herbivore Browser","TRUE","FALSE","TRUE","FALSE",2
"21","Naso unicornis","Herbivore Browser","TRUE","TRUE","FALSE","FALSE",2
"22","Plectroglyphidodon lacrymatus","Herbivore Grazer","TRUE","TRUE","TRUE","TRUE",4
