"","date","dataset","reef","site","site.number","management","habitat","unique.id","depth","transect","transect.area","family","species","FG","length.cm","mass.g","biomass.kgha","abundance.500m2"
"11118","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"2129","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"3117","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"4164","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
"5100","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
"6100","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
"7154","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
"8100","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",12,47.91784216,1.916713686,2
"9137","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",12,47.91784216,1.916713686,2
"10102","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",12,47.91784216,1.916713686,2
"11119","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",13,60.76261022,2.430504409,2
"12238","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",13,60.76261022,2.430504409,2
"131003","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",13,60.76261022,2.430504409,2
"19100","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",11,30.72155644,1.228862258,2
"2038","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",12,39.64274309,1.585709724,2
"2130","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",12,39.64274309,1.585709724,2
"2237","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",12,39.64274309,1.585709724,2
"2310","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"2436","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"2510","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"2610","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"2710","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"2810","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"2913","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"3016","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"3118","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",15,76.22721205,3.049088482,2
"3216","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",20,177.0844938,7.083379752,2
"3314","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",22,234.1321762,9.365287049,2
"3423","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",28,474.6086824,18.9843473,2
"3558","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",30,580.9355095,23.23742038,2
"3619","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",30,580.9355095,23.23742038,2
"3712","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",32,701.862572,28.07450288,2
"3810","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",34,838.2930662,33.53172265,2
"3910","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Scarus frenatus","Herbivore Scraper",12,55.96272019,2.238508808,2
"4010","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Scarus frenatus","Herbivore Scraper",13,71.4942083,2.859768332,2
"4167","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Scarus frenatus","Herbivore Scraper",13,71.4942083,2.859768332,2
"4212","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Scarus frenatus","Herbivore Scraper",29,832.8026086,33.31210434,2
"4310","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Scarus scaber","Herbivore Scraper",16,86.50451245,3.460180498,2
"4410","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",10,23.84328188,0.953731275,2
"4510","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",10,23.84328188,0.953731275,2
"4610","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"4710","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"4810","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"4917","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"5036","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"5113","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"52102","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"531001","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
"54","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
"55362","11/03/2013","Maldives","Maldives","Maamendhoo","Maldives.Maamendhoo","Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
