location,habitat,count,year,struc complexity,Line inter total,Line inter Coraline algae,Line inter Sand,Line inter Soft,Line inter Rubble,Line inter Rock,Line inter Branch dead,Line inter Massive dead,Line inter Sargassum,Line inter Asparagopsis,Line inter Caulerpa,Line inter Red corticated,Line inter Galaxora,Line inter Lobophyta,Line inter turtle grass,Line inter Halimeda,Line inter Turbinaria_macroalgae,Line inter Dictyota,Line inter Dictyopteris,Line inter Padina,Line inter Acanthastrea,Line inter Acropora,Line inter Astreopora,Line inter Coscinarea,Line inter Cyphastrea,Line inter Diplastrea,Line inter Echimopora,Line inter Euphyllia,Line inter Favia,Line inter Favites,Line inter Fungia,Line inter Galaxea,Line inter Goniastrea,Line inter Goniopora,Line inter Hydnophora,Line inter Leptatsrea,Line inter Leptoria,Line inter Lobopyhlia,Line inter Millipora,Line inter Montastrea,Line inter Montipora,Line inter Pavona,Line inter Platygyra,Line inter Pocilopora,Line inter Porites,Line inter Porites branching,Line inter Psamocra,Line inter Stylophora,Line inter Symphilia,Line inter Tubiastrea,Line inter Tubipora,Line inter Turbinaria,Line inter sponge,Line inter Palythoa,Line inter seagrass,Line inter Heliopora,Line inter Alveopora,Line inter Herpolitha,Line inter Isopora,Line inter Leptoseris,Line inter Physogyra,Line inter Siderastrea,Line inter Stylocoeniella,Line inter Coralimorph,Line inter cyanobacteria
Mahe NW Patch,Patch,1,2008,2.5,10,0,2.7,2.9,1.5,1.8,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Patch,Patch,2,2008,2.5,10,0,3,3.1,0.8,1.9,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Patch,Patch,3,2008,3,10,0,2.7,2.3,2.6,1.8,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Patch,Patch,4,2008,2.5,10,0,0.3,0.4,6.6,1.7,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Patch,Patch,5,2008,2.5,10,0,3.6,1.3,0.7,0.9,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Patch,Patch,6,2008,3,10,0,0,2.2,0.7,3.6,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Patch,Patch,7,2008,3,10,0,1.4,1.2,1,5.7,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Patch,Patch,8,2008,2.5,10,0,4.9,2.2,0.6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Granite,Granite,1,2008,3,10,0,0,0,1.8,5.9,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.1,0.5,0,0,0,0,0,0,0.7,0.3,0,0,0.1,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Granite,Granite,2,2008,3,10,0,0,0,1.5,7.1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.1,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
