"","site","m","method","order","SC","qD","qD.LCL","qD.UCL"
"1","2008.Cousin Carbonate",2,"interpolated",0,0.267,1.855,1.835,1.875
"2","2008.Cousin Granite",2,"interpolated",0,0.404,1.762,1.708,1.816
"3","2008.Cousin Patch",2,"interpolated",0,0.374,1.782,1.74,1.824
"4","2008.Mahe E Carbonate",2,"interpolated",0,0.468,1.702,1.643,1.76
"5","2008.Mahe E Granite",2,"interpolated",0,0.342,1.807,1.772,1.842
"6","2008.Mahe E Patch",2,"interpolated",0,0.33,1.812,1.774,1.849
"7","2008.Mahe NW Carbonate",2,"interpolated",0,0.453,1.728,1.682,1.773
"8","2008.Mahe NW Granite",2,"interpolated",0,0.241,1.868,1.843,1.893
"9","2008.Mahe NW Patch",2,"interpolated",0,0.351,1.8,1.758,1.842
"10","2008.Mahe W Carbonate",2,"interpolated",0,0.352,1.799,1.765,1.832
"11","2008.Mahe W Granite",2,"interpolated",0,0.276,1.842,1.801,1.883
"12","2008.Mahe W Patch",2,"interpolated",0,0.291,1.838,1.788,1.887
"13","2008.Praslin NE Carbonate",2,"interpolated",0,0.291,1.837,1.751,1.924
"14","2008.Praslin NE Granite",2,"interpolated",0,0.249,1.863,1.836,1.89
"15","2008.Praslin NE Patch",2,"interpolated",0,0.329,1.816,1.786,1.846
"16","2008.Praslin SW Carbonate",2,"interpolated",0,0.267,1.867,1.635,2.098
"17","2008.Praslin SW Granite",2,"interpolated",0,0.297,1.836,1.81,1.861
"18","2008.Praslin SW Patch",2,"interpolated",0,0.628,1.548,1.498,1.597
"19","2008.Ste Anne Carbonate",2,"interpolated",0,0.549,1.653,1.602,1.704
"20","2008.Ste Anne Granite",2,"interpolated",0,0.222,1.882,1.869,1.894
"21","2008.Ste Anne Patch",2,"interpolated",0,0.589,1.61,1.532,1.688
"22","2011.Cousin Carbonate",2,"interpolated",0,0.434,1.744,1.666,1.823
"23","2011.Cousin Granite",2,"interpolated",0,0.238,1.873,1.833,1.913
"24","2011.Cousin Patch",2,"interpolated",0,0.48,1.703,1.656,1.75
"25","2011.Mahe E Carbonate",2,"interpolated",0,0.568,1.622,1.499,1.745
"26","2011.Mahe E Granite",2,"interpolated",0,0.429,1.744,1.66,1.827
"27","2011.Mahe E Patch",2,"interpolated",0,0.271,1.852,1.804,1.9
"28","2011.Mahe NW Carbonate",2,"interpolated",0,0.458,1.722,1.657,1.787
"29","2011.Mahe NW Granite",2,"interpolated",0,0.303,1.833,1.802,1.864
"30","2011.Mahe NW Patch",2,"interpolated",0,0.473,1.714,1.579,1.849
"31","2011.Mahe W Carbonate",2,"interpolated",0,0.339,1.807,1.746,1.868
"32","2011.Mahe W Granite",2,"interpolated",0,0.324,1.819,1.773,1.865
"33","2011.Mahe W Patch",2,"interpolated",0,0.496,1.688,1.594,1.782
"34","2011.Praslin NE Carbonate",2,"observed",0,0.667,2,1.039,2.961
"35","2011.Praslin NE Granite",2,"interpolated",0,0.319,1.819,1.778,1.859
"36","2011.Praslin NE Patch",2,"interpolated",0,0.341,1.804,1.725,1.883
"37","2011.Praslin SW Granite",2,"interpolated",0,0.299,1.832,1.792,1.871
"38","2011.Praslin SW Patch",2,"interpolated",0,0.738,1.42,1.358,1.481
"39","2011.Ste Anne Carbonate",2,"interpolated",0,0.78,1.364,1.268,1.461
"40","2011.Ste Anne Granite",2,"interpolated",0,0.256,1.859,1.822,1.896
"41","2011.Ste Anne Patch",2,"interpolated",0,0.694,1.494,1.446,1.542
"42","2014.Cousin Carbonate",2,"interpolated",0,0.389,1.783,1.723,1.844
"43","2014.Cousin Granite",2,"interpolated",0,0.296,1.839,1.8,1.877
"44","2014.Cousin Patch",2,"interpolated",0,0.622,1.578,1.534,1.622
"45","2014.Mahe E Carbonate",2,"interpolated",0,0.405,1.764,1.714,1.815
"46","2014.Mahe E Granite",2,"interpolated",0,0.381,1.783,1.702,1.864
"47","2014.Mahe E Patch",2,"interpolated",0,0.321,1.822,1.769,1.876
