"","site","m","method","order","SC","qD","qD.LCL","qD.UCL"
"1","2008.Cousin Carbonate",10,"interpolated",0,0.772,5.442,5.047,5.837
"2","2008.Cousin Granite",10,"interpolated",0,0.715,5.929,5.577,6.282
"3","2008.Cousin Patch",10,"interpolated",0,0.642,6.372,5.976,6.768
"4","2008.Mahe E Carbonate",10,"interpolated",0,0.782,4.3,3.912,4.688
"5","2008.Mahe E Granite",10,"interpolated",0,0.738,5.621,5.217,6.026
"6","2008.Mahe E Patch",10,"interpolated",0,0.758,5.373,5.056,5.689
"7","2008.Mahe NW Carbonate",10,"interpolated",0,0.775,5.154,4.793,5.516
"8","2008.Mahe NW Granite",10,"interpolated",0,0.58,6.916,6.61,7.223
"9","2008.Mahe NW Patch",10,"interpolated",0,0.799,4.607,3.547,5.667
"10","2008.Mahe W Carbonate",10,"interpolated",0,0.839,4.283,3.829,4.737
"11","2008.Mahe W Granite",10,"interpolated",0,0.735,5.558,4.941,6.176
"12","2008.Mahe W Patch",10,"interpolated",0,0.756,5.014,4.211,5.818
"13","2008.Praslin NE Carbonate",10,"interpolated",0,0.784,4.819,4.035,5.602
"14","2008.Praslin NE Granite",10,"interpolated",0,0.767,5.168,4.594,5.742
"15","2008.Praslin NE Patch",10,"interpolated",0,0.739,5.634,5.02,6.248
"16","2008.Praslin SW Carbonate",10,"interpolated",0,0.832,4.193,3.613,4.772
"17","2008.Praslin SW Granite",10,"interpolated",0,0.621,6.6,6.316,6.884
"18","2008.Praslin SW Patch",10,"interpolated",0,0.747,5.287,4.903,5.67
"19","2008.Ste Anne Carbonate",10,"interpolated",0,0.786,4.813,4.318,5.309
"20","2008.Ste Anne Granite",10,"interpolated",0,0.663,5.871,5.421,6.322
"21","2008.Ste Anne Patch",10,"interpolated",0,0.761,5.345,5.056,5.634
"22","2011.Cousin Carbonate",10,"interpolated",0,0.801,4.908,4.464,5.352
"23","2011.Cousin Granite",10,"interpolated",0,0.814,4.739,4.325,5.153
"24","2011.Cousin Patch",10,"interpolated",0,0.797,4.774,4.288,5.259
"25","2011.Mahe E Carbonate",10,"interpolated",0,0.84,3.219,2.494,3.944
"26","2011.Mahe E Granite",10,"interpolated",0,0.785,4.812,4.291,5.334
"27","2011.Mahe E Patch",10,"interpolated",0,0.83,4.076,3.718,4.434
"28","2011.Mahe NW Carbonate",10,"interpolated",0,0.783,4.742,4.257,5.227
"29","2011.Mahe NW Granite",10,"interpolated",0,0.749,5.598,4.969,6.227
"30","2011.Mahe NW Patch",10,"interpolated",0,0.756,5.062,4.349,5.775
"31","2011.Mahe W Carbonate",10,"interpolated",0,0.755,5.198,4.692,5.704
"32","2011.Mahe W Granite",10,"interpolated",0,0.73,5.406,4.783,6.029
"33","2011.Mahe W Patch",10,"interpolated",0,0.798,4.788,4.256,5.32
"34","2011.Praslin NE Carbonate",10,"interpolated",0,0.9,4.268,3.793,4.744
"35","2011.Praslin NE Granite",10,"interpolated",0,0.692,5.619,5.033,6.205
"36","2011.Praslin NE Patch",10,"interpolated",0,0.727,5.981,5.332,6.63
"37","2011.Praslin SW Carbonate",10,"interpolated",0,0.865,4.32,3.886,4.753
"38","2011.Praslin SW Granite",10,"interpolated",0,0.653,6.353,5.87,6.836
"39","2011.Praslin SW Patch",10,"interpolated",0,0.733,5.535,5.178,5.893
"40","2011.Ste Anne Carbonate",10,"interpolated",0,0.759,5.09,4.759,5.421
"41","2011.Ste Anne Granite",10,"interpolated",0,0.576,6.891,6.51,7.271
"42","2011.Ste Anne Patch",10,"interpolated",0,0.777,5.05,4.65,5.45
"43","2014.Cousin Carbonate",10,"interpolated",0,0.873,4.405,3.963,4.847
"44","2014.Cousin Granite",10,"interpolated",0,0.8,4.972,4.426,5.518
"45","2014.Cousin Patch",10,"interpolated",0,0.71,5.806,5.297,6.314
"46","2014.Mahe E Carbonate",10,"interpolated",0,0.741,5.248,4.702,5.795
"47","2014.Mahe E Granite",10,"interpolated",0,0.841,3.96,3.356,4.564
"48","2014.Mahe E Patch",10,"interpolated",0,0.717,5.479,4.946,6.011
"49","2014.Mahe NW Carbonate",10,"interpolated",0,0.812,4.574,4.153,4.995
"50","2014.Mahe NW Granite",10,"interpolated",0,0.745,5.699,5.207,6.191
"51","2014.Mahe NW Patch",10,"interpolated",0,0.779,4.861,4.24,5.483
"52","2014.Mahe W Carbonate",10,"interpolated",0,0.843,4.166,3.732,4.6
