"","X.Intercept.","abund","biom","site.evenness","site.rarefied","df","logLik","AICc","delta","weight"
"8",0.119067534935689,0.146447997545346,0.535393519545941,0.0635320572203927,0,7,-28.8791275776519,72.676287942189,0,0.548211684001564
"16",0.119060380554827,0.159638598933028,0.523162043204494,0.0590802877864391,0.0201097359103084,8,-28.698276011471,74.5866346675702,1.91034672538112,0.210921944624051
"4",0.116983784495989,0.1531732219482,0.510564891247348,0,0,6,-31.2972561702922,75.2774391698528,2.60115122766372,0.149319138299977
"12",0.11725202734567,0.175019189447542,0.490166349101776,0,0.036697123932064,7,-30.6762454533005,76.2705236934863,3.59423575129726,0.0908803332041527
"7",0.17461846826039,0,0.621871425659964,0.0719140799025941,0,6,-37.4776246004957,87.6381760302598,14.9618880880707,0.000309040622290504
"15",0.172173341912629,0,0.635813549303476,0.0805586226298024,-0.0399622939267438,7,-36.4948024601834,87.907637707252,15.231349765063,0.000270086396131021
"3",0.178067504949964,0,0.598308709708506,0,0,5,-40.2293790427432,90.9426290532284,18.2663411110393,5.92192240941438e-05
"11",0.177108230229753,0,0.605612485686597,0,-0.0247493732204038,6,-39.8593133382236,92.4015535057156,19.7252655635265,2.85536277406599e-05
"14",0.0898901685725768,0.498620591857885,0,-0.0655638303357862,0.246957060048315,7,-73.7738794806399,162.465791748165,89.789503805976,1.7434330296345e-20
"10",0.081501553995139,0.517637058720997,0,0,0.25221673890278,6,-75.2008584176523,163.084643664573,90.4083557223838,1.2794498959182e-20
"6",0.192230179986936,0.366961774779161,0,-0.0730208568212576,0,6,-88.8270547510813,190.337036331431,117.660748389242,1.54611362143205e-26
"2",0.19174482030596,0.376485168275948,0,0,0,5,-90.3361067516877,191.156084471117,118.479796528928,1.02656714962182e-26
"13",0.349000485695008,0,0,-0.121353856371365,0.0861213252892243,6,-106.906802056792,226.496530942852,153.820243000663,2.17423717637578e-34
"5",0.349798602061013,0,0,-0.110089902714478,0,5,-108.670940041339,227.825751050419,155.14946310823,1.11858872717358e-34
"9",0.363141594143364,0,0,0,0.0703309130379982,5,-110.454211359179,231.392293686101,158.716005743912,1.88020648054365e-35
"1",0.364287843191393,0,0,0,0,4,-111.602286275651,231.524572551303,158.848284609114,1.75987391677202e-35
