"","X.Intercept.","Fished.Protected.dummy","Fished.Unfished.dummy","complexity","fish.biom","hard.coral","macroalgae","rubble","substrate","df","logLik","AICc","delta","weight"
"173",0.409555584103497,0,0,0.0869991290102477,0.100966041083903,0,-0.174227226128567,0,0.212398669108511,8,-95.2756052248254,207.731538318503,0,0.0941340577541328
"165",0.431082437798741,0,0,0.0924339944401841,0,0,-0.176203490935737,0,0.212873656285217,7,-96.6601689375172,208.230906980726,0.499368662222338,0.0733348237615294
"174",0.396470160496489,0.124754064537839,0,0.0934255995481616,0.0971833110834843,0,-0.172508435243203,0,0.215101604031202,9,-94.472477182224,208.432557670233,0.701019351729997,0.0663013485260734
"166",0.416652192333814,0.131814751269843,0,0.0989927182263273,0,0,-0.174256925457782,0,0.215871483427034,8,-95.7727854156495,208.725898700151,0.994360381648249,0.0572564169024547
"167",0.32775968209256,0,0.52606381246837,0.0909728420725517,0,0,-0.173059686854002,0,0.211237768797179,8,-95.9539833489299,209.088294566712,1.35675624820897,0.0477673230969151
"237",0.432420204986723,0,0,0.0872118081259608,0.103991422967262,0,-0.171614990357735,0.0404160282986934,0.238666086259246,9,-94.9841662723233,209.455935850432,1.72439753192853,0.0397464745517654
"175",0.345400575925455,0,0.336436517059121,0.0870998900578961,0.0867896031693511,0,-0.172538508169115,0,0.21094859411046,9,-94.9981135152654,209.483830336316,1.75229201781266,0.0391959687580505
"168",0.310147290735752,0.133666983956036,0.533780409554419,0.0974107440158509,0,0,-0.17090420986656,0,0.214062794814716,9,-95.0342377908745,209.556078887534,1.82454056903097,0.037805312235961
"189",0.431947730418926,0,0,0.0942888266484634,0.100849523710003,-0.0355313527558789,-0.179368453857434,0,0.209932129297019,9,-95.1207626440309,209.729128593847,1.99759027534364,0.0346717340717699
"229",0.45065493366521,0,0,0.0926524680057518,0,0,-0.173920488621953,0.0354154220078067,0.235942015440186,8,-96.4383027474019,210.056933363656,2.32539504515304,0.0294302303726978
"169",0.403513046207979,0,0,0,0.112337751012027,0,-0.175887298159871,0,0.220181725361954,7,-97.6206619047736,210.151892915238,2.42035459673502,0.0280655435077888
