"","X.Intercept.","abund","biom","site.beta.rich","site.evenness","site.rarefied","df","logLik","AICc","delta","weight"
"32",-0.454110429020891,0.476968865390596,0.163987282317369,-0.129702276573823,-0.0609186441890031,0.143148570929414,9,60.5117397556394,-101.548069675213,0,0.843121264907039
"24",-0.450227591547399,0.477734519068638,0.191145032313989,-0.134177957569,0,0.115176974751717,8,57.6759135044163,-98.1810953015155,3.36697437369766,0.156588854624702
"30",-0.444262385698311,0.54955330483717,0,-0.159165778877451,-0.0963801879137698,0.165077107117872,8,50.9315412933781,-84.6923508794391,16.855718795774,0.000184381444183859
"28",-0.491781037564166,0.459252643836087,0.199166274180432,0,-0.0680555596309657,0.159869534353444,8,49.6934470605942,-82.2161624138714,19.3319072613418,5.34588631581542e-05
"8",-0.475030785649612,0.442531307167129,0.229033629641022,-0.147450681987829,0,0,7,48.0560039994478,-81.208782192444,20.3392874827692,3.23050102562342e-05
"16",-0.47570261521373,0.442175057265155,0.227820506910742,-0.147421581222877,-0.00337146258368486,0,8,48.0651566485371,-78.9595815897571,22.588488085456,1.04920941256582e-05
"20",-0.483421325200853,0.458439801530117,0.233058416831558,0,0,0.128833317405747,7,46.7070778851273,-78.510929963803,23.0371397114101,8.38375764379629e-06
"22",-0.434519179708548,0.571846879700628,0,-0.173961549365429,0,0.121599940979733,7,44.4243824984275,-73.9455391904033,27.6025304848098,8.55217747929439e-07
"4",-0.523601354601988,0.41616790737964,0.254060824185286,0,0,0,6,37.3596332038725,-62.047266407745,39.5008032674681,2.23048649556311e-09
"12",-0.525921721958037,0.414989758854186,0.250814860114653,0,-0.00769572154961059,0,7,37.3996711288625,-59.8961164512734,41.6519532239398,7.60822452025583e-10
"26",-0.504281338139723,0.530521129983066,0,0,-0.115437114382904,0.177913604939646,7,37.2816359310877,-59.6600460557237,41.8880236194894,6.76116111654238e-10
"6",-0.474467772127226,0.534491058663202,0,-0.178076850496999,0,0,6,35.1244478299198,-57.5768956598395,43.9711740153736,2.38600266394573e-10
"14",-0.483015237632046,0.523054773875488,0,-0.174073878478871,-0.0335422585170889,0,7,35.924763150561,-56.9463004946703,44.6017691805428,1.74076010114937e-10
"18",-0.492754344379688,0.554208099126196,0,0,0,0.122652735638972,6,29.6873764770164,-46.7027529540327,54.8453167211804,1.03843863572234e-12
"10",-0.541958890282232,0.493929213270198,0,0,-0.0476226448998107,0,6,23.5036155016913,-34.3352310033827,67.2128386718305,2.14194132046014e-15
"2",-0.530590497036176,0.511034073622414,0,0,0,0,5,22.1415177727717,-33.806845069353,67.7412246058602,1.6446368663221e-15
"3",-0.493838779203767,0,0.515681512213023,0,0,0,5,-12.7615593650674,35.9993092063253,137.547378881538,1.14250002648046e-30
"11",-0.500593465859364,0,0.494304405437658,0,-0.042003752535533,0,6,-12.1627378620445,36.9974757240891,138.545545399302,6.93596852171353e-31
"19",-0.497338515116062,0,0.518199391033295,0,0,-0.0178341613840204,6,-12.668014754836,38.0080295096719,139.556099184885,4.18473678995351e-31
"7",-0.492934684722181,0,0.513710949374737,-0.0165775672095945,0,0,6,-12.7011801394683,38.0743602789365,139.62242995415,4.04822463650121e-31
"15",-0.499418918462792,0,0.492401144798232,-0.0171551464564468,-0.0421462450144532,0,7,-12.0973460102403,39.0979178269321,140.645987502145,2.42662074513783e-31
"27",-0.500203444280397,0,0.493256538583987,0,-0.0432324022296989,0.00291755952343481,7,-12.1604909597376,39.2242077259267,140.77227740114,2.27812947411042e-31
"23",-0.496572960092874,0,0.516281402086554,-0.0186130255196445,0,-0.0192286920324004,7,-12.5928700442462,40.088965894944,141.637035570157,1.47842246260069e-31
"31",-0.499238047516854,0,0.491927789995951,-0.0170161503027649,-0.0427213797580219,0.00136744595417761,8,-12.0969107203884,41.3645531480938,142.912622823307,7.81282865539041e-32
"9",-0.487643228180218,0,0,0,-0.159043461259556,0,5,-37.6934690641606,85.8631286045117,187.411198279725,1.69849946019413e-41
"13",-0.478380076153863,0,0,-0.0378511854079979,-0.157766154963615,0,6,-37.4848013790322,87.6416027580644,189.189672433278,6.98030915278112e-42
"25",-0.481458374362732,0,0,0,-0.175087414055592,0.0318758774711522,6,-37.510035220332,87.692070440664,189.240140115877,6.80637290853489e-42
"29",-0.474926573950255,0,0,-0.0356313811874155,-0.172316407463463,0.0295765717832353,7,-37.324358413387,89.5519426332256,191.100012308439,2.6856513028584e-42
"1",-0.445323419773713,0,0,0,0,0,4,-44.6412989420227,97.5975585139667,199.14562818918,4.80802076015638e-44
"17",-0.458323367795334,0,0,0,0,-0.0651581792772873,5,-43.6587237871484,97.7936380504873,199.3417077257,4.35901339759549e-44
"5",-0.436194060943533,0,0,-0.0519812414829731,0,0,5,-44.2876884405693,99.051567357329,200.599637032542,2.32397967528885e-44
"21",-0.452294468058025,0,0,-0.0530862733308229,0,-0.0653296785841114,6,-43.2905665231183,99.2531330462366,200.80120272145,2.1011782292164e-44
