"","X.Intercept.","Fished.Protected.dummy","Fished.Unfished.dummy","complexity","fish.biom","hard.coral","macroalgae","rubble","site.size","substrate","df","logLik","AICc","delta","weight"
"8",-1.00405192258492,0.179830315718312,1.04146277482482,0.0943171591564348,0,0,0,0,0,0,7,-39.7758383385437,94.4549024835391,0,0.0218289623400646
"7",-0.975222960387008,0,1.00871956099238,0.0872748627568569,0,0,0,0,0,0,6,-41.175318418977,95.022636837954,0.567734354414881,0.0164342974424688
"328",-0.922061077258457,0.162675957824082,1.04956462322954,0.0790499617311674,0,0,0,0.0928332092990615,0,0.110197643967993,9,-37.9839851793527,95.4433801947709,0.988477711231809,0.013316432250196
"264",-0.960885078150629,0.187499213060408,1.01404615762256,0.0909116249149623,0,0,0,0,0,0.0513742040360738,8,-39.1443765729953,95.4594848533076,1.00458236976849,0.0132096345153641
"327",-0.895834496711771,0,1.02952535027349,0.0721140235024464,0,0,0,0.10520393750909,0,0.114524879839779,8,-39.1494035274995,95.4695387623161,1.01463627877696,0.0131433969098392
"16",-1.07494707758996,0.184169816507215,1.18732592452694,0.0982830359569379,-0.0864234968818663,0,0,0,0,0,8,-39.2311355146769,95.6330027366709,1.17810025313182,0.0121118887215692
"323",-0.874433028924706,0,1.0044832599686,0,0,0,0,0.117728971518582,0,0.128964686817744,7,-40.4073022032708,95.7178302129933,1.26292772945416,0.0116089200338011
"24",-0.958720610340418,0.174015588164254,1.04008889473028,0.105091862333953,0,-0.055515142327545,0,0,0,0,8,-39.4397154741729,96.0501626556628,1.59526017212373,0.00983165763055307
"6",-0.458126302374955,0.169953089985843,0,0.0926105373601388,0,0,0,0,0,0,6,-41.7161456161711,96.1042912323421,1.64938874880303,0.00956913927366655
"135",-0.921940845561105,0,0.890448047084405,0.0788748962668638,0,0,0,0,0.0847742495676705,0,7,-40.6154814000028,96.1341886064572,1.67928612291811,0.00942715707297122
"136",-0.963191976134939,0.163321807678625,0.952991132717299,0.08741770135715,0,0,0,0,0.0605452894437573,0,8,-39.4988690146645,96.1684697366461,1.71356725310694,0.00926694723948433
"324",-0.898328062074136,0.143969814030717,1.02391700057249,0,0,0,0,0.109746085825958,0,0.125977795734209,8,-39.5018329128108,96.1743975329386,1.71949504939948,0.00923952161519527
"263",-0.935675130957385,0,0.983784547804864,0.0827811074713155,0,0,0,0,0,0.0467102948554705,7,-40.6666865118149,96.2365988300813,1.78169634654222,0.00895658899958538
"3",-0.955798905164185,0,0.96852889263633,0,0,0,0,0,0,0,5,-42.931427529551,96.3390455352925,1.88414305175341,0.00850935468822351
"15",-1.04400467500795,0,1.14600815900592,0.0907344436785046,-0.0792913492435188,0,0,0,0,0,7,-40.7271638229878,96.3575534524273,1.9026509688882,0.00843097270367968
"4",-0.98066974496883,0.160358083674312,0.994713314128592,0,0,0,0,0,0,0,6,-41.8469544572268,96.3659089144536,1.91100643091444,0.0083958238399162
"40",-1.00733878197066,0.179810572827268,1.04434486664844,0.0922109375415001,0,0,-0.0280349511998909,0,0,0,8,-39.6003648131651,96.3714613336472,1.91655885010809,0.00837254759801148
"5",-0.442639533640861,0,0,0.0858679092125285,0,0,0,0,0,0,5,-42.9517612291194,96.3797129344292,1.92481045089011,0.00833807529966845
"23",-0.928204596553496,0,1.01282834070305,0.0997217295597431,0,-0.0632736235684583,0,0,0,0,7,-40.7463389086287,96.395903623709,1.94100114016986,0.00827084818694915
"133",-0.460673134690428,0,0,0.0748880893782889,0,0,0,0,0.113106970432345,0,6,-41.8788443435166,96.4296886870332,1.97478620349406,0.00813230608003073
